id,ethfrac,country,intervention,ln_peace_duration,ln_deaths,ln_wardur,ln_population,ln_military,ln_gdppc,polity
600_3,53.40092086791992,Morocco,1,5.1179938316345215,9.472704887390137,180,10.085808753967285,5.2729997634887695,6.813518524169922,-9
630_3,75.65816497802734,Iran,0,2.397895336151123,3.9120230674743652,12,10.881814002990723,6.403573989868164,7.517747402191162,-10
630_4,75.65816497802734,Iran,0,3.1354942321777344,3.9120230674743652,12,10.9681978225708,6.269096374511719,7.078665256500244,-6
630_5,75.65816497802734,Iran,0,1.3862943649291992,3.9120230674743652,12,11.01862907409668,6.291569232940674,7.301309585571289,-6
630_6,75.65816497802734,Iran,0,2.397895336151123,5.799092769622803,36,11.033275604248047,6.131226539611816,7.3394455909729,-6
630_7,75.65816497802734,Iran,0,3.1354942321777344,5.799092769622803,36,11.089805603027344,6.240275859832764,7.360198020935059,3
645_5,36.24711608886719,Iraq,0,4.418840408325195,9.982529640197754,144,9.989665031433105,5.991464614868164,8.3777008056640625,-7
651_2,4.400849342346191,Egypt,0,4.077537536621094,7.134093761444092,70,11.047710418701172,6.063785076141357,6.896339416503906,-3
660_3,13.480514526367188,Lebanon,1,5.0434250831604,11.877568244934082,189,8.21824836730957,3.5835189819335938,7.75427770614624,0
679_2,6,Yemen,0,4.718498706817627,8.6125030517578125,4,9.60238265991211,4.234106540679932,5.548002243041992,-2
700_3,65.828094482421875,Afghanistan,0,2.397895336151123,13.228523254394531,265,10.239959716796875,5.991464614868164,6.914731025695801,-7
702_2,55.156951904296875,Tajikistan,1,2.397895336151123,10.628618240356445,55,8.702509880065918,2.3025851249694824,5.857973575592041,-6
702_3,55.156951904296875,Tajikistan,1,4.077537536621094,4.605170249938965,12,8.725831985473633,1.945910096168518,5.293266773223877,-5
704_2,48.453609466552734,Uzbekistan,0,3.5553481578826904,4.094344615936279,5,10.126630783081055,3.9512436389923096,6.483577728271484,-9
770_4,64.4509048461914,Pakistan,0,3.8501474857330322,7.8240461349487305,24,11.61728572845459,6.336825847625732,6.109303951263428,8
770_5,64.4509048461914,Pakistan,0,4.418840408325195,7.8240461349487305,24,11.759785652160645,6.413458824157715,6.186435699462891,8
771_3,0.49750804901123047,Bangladesh,0,4.875197410583496,5.46806001663208,12,11.661345481872559,4.672828674316406,5.436097621917725,-7
780_3,46.70414352416992,Sri Lanka,0,2.397895336151123,9.6803436279296875,78,9.852193832397461,4.795790672302246,6.22597074508667,5
811_4,29.692340850830078,Cambodia,0,4.077537536621094,11.424094200134277,241,9.433484077453613,4.094344615936279,5.858333587646484,-7
812_4,59.96567153930664,Laos,0,5.0434250831604,5.2983174324035645,24,8.352082252502441,3.97029185295105,5.6179890632629395,-7
840_3,74.51771545410156,Philippines,0,0.6931471824645996,11.052080154418945,24,11.154821395874023,4.634728908538818,6.765491008758545,2
850_6,76.40583801269531,Indonesia,0,1.945910096168518,8.987196922302246,1,12.08953857421875,5.64544677734375,5.951386451721191,-7
850_7,76.40583801269531,Indonesia,0,1.6094379425048828,7.070724010467529,72,12.106252670288086,5.627621173858643,6.655009746551514,-7
850_8,76.40583801269531,Indonesia,0,3.8501474857330322,8.987196922302246,1,12.138863563537598,5.602118968963623,6.723345756530762,-7
910_2,44.50503158569336,Papua New Guinea,0,2.397895336151123,5.521461009979248,60,8.313362121582031,1.3862943649291992,6.733610153198242,10
910_3,44.50503158569336,Papua New Guinea,0,4.418840408325195,5.521461009979248,60,8.468213081359863,1.6094379425048828,6.707461357116699,10
